63.2742 S, 115.9766 W
66.8505 N, 77.8498 W
26.0482 S, 66.8516 E
82.6611 N, 114.1126 W
43.1025 N, 78.8479 E
45.1971 N, 10.7790 W
16.4888 S, 161.9852 E
69.0879 S, 52.2845 W
85.0151 N, 15.1273 E
81.5653 N, 145.3483 W
43.3333 N, 70.7850 W
46.1258 S, 54.9865 E
54.8486 N, 81.3434 E
61.3947 N, 106.4796 W
46.5061 N, 127.9613 W
81.6457 S, 170.4193 W
66.6989 S, 80.6475 E
73.3194 N, 107.3019 W
7.3103 N, 44.5592 E
86.7890 N, 79.1657 E
74.7705 N, 158.7716 W
7.6377 S, 108.8487 W
50.6928 S, 47.2822 E
78.8953 S, 143.9204 W
12.9519 N, 96.8808 E
9.2868 N, 9.4594 E
22.3847 S, 116.7734 W
30.3630 S, 48.9232 W
37.1043 S, 150.4711 E
12.4974 N, 41.4392 W
61.9117 N, 111.1852 E
87.0507 N, 42.0874 E
32.1238 N, 117.8206 E
35.9062 N, 13.8614 E
57.5552 S, 39.3291 W
62.9818 S, 124.7427 E
40.6065 N, 88.8754 E
12.1300 S, 26.6228 W
21.9495 N, 82.1598 W
34.9514 S, 135.3217 W
81.5559 N, 174.0241 W
9.8051 S, 157.2470 E
3.6604 S, 73.4013 E
77.8858 N, 48.0153 W
66.0386 N, 155.7518 W
28.8036 S, 1.4702 W
46.6225 S, 155.1126 W
78.0575 N, 147.9521 E
46.7887 S, 172.4198 E
41.9049 N, 155.1172 E
27.0027 S, 133.7843 E
14.0672 S, 19.3514 E
17.9943 S, 151.7847 W
0.8226 S, 3.7532 W
0.5720 N, 158.0099 W
87.1075 N, 139.9898 W
12.6143 N, 54.9645 E
35.1191 S, 58.5002 E
48.3802 N, 91.2542 E
41.2353 N, 67.6141 W
0.3348 N, 173.5893 W
27.2195 S, 38.5378 E
9.3109 S, 31.5776 W
21.3242 N, 91.4431 E
50.0963 N, 156.3244 W
49.6707 S, 13.3651 W
46.4490 S, 163.3123 W
52.7567 S, 174.9157 W
84.9696 S, 79.8486 E
8.9039 N, 173.0349 E
71.5057 N, 61.3850 W
26.1487 S, 140.8432 W
25.2691 S, 20.2927 E
68.0825 N, 132.4562 W
81.1111 N, 69.0585 E
80.9946 N, 90.3835 E
70.4256 S, 66.6964 E
3.7858 N, 115.2833 E
21.6222 S, 22.2345 W
40.3371 S, 39.8940 W
75.0022 S, 44.9839 E
13.2663 N, 50.2810 E
11.0047 S, 134.7718 E
83.6936 S, 159.9266 E
40.9201 S, 37.2080 W
74.9535 N, 145.2674 E
83.2192 S, 74.1769 E
59.3230 N, 23.3062 E
56.7877 S, 97.0031 W
30.3202 N, 128.7243 E
58.9785 N, 28.8245 W
17.2583 N, 55.4382 E
36.5863 N, 176.6412 E
41.8915 N, 171.4183 E
42.2673 N, 5.6800 W
26.6933 N, 104.0507 W
18.9357 S, 170.6982 E
42.3816 N, 146.9143 W
23.9535 S, 76.0897 E
39.7562 N, 4.5004 W
28.1791 S, 129.3786 E
70.7448 N, 126.9776 E
13.9366 S, 155.0003 W
53.5812 N, 141.1579 W
82.4215 S, 11.6092 E
67.9566 N, 155.0945 E
21.3299 S, 21.2507 W
24.2555 S, 125.9596 E
61.6054 N, 34.0546 E
4.7581 N, 66.5216 W
49.1791 S, 66.4689 E
46.2141 S, 166.6072 W
77.0348 N, 79.8971 E
89.8867 S, 176.7026 W
32.7601 N, 3.9139 E
50.1500 S, 2.3384 W
5.9034 N, 166.4494 W
88.5619 S, 147.6054 W
81.7325 N, 23.1112 W
82.1929 N, 34.2151 E
27.7646 N, 89.2781 E
73.3629 N, 97.2464 E
13.6173 N, 55.3118 E
32.0044 S, 24.4065 W
42.1886 N, 74.1442 E
6.7771 S, 20.6559 W
89.5710 S, 55.7571 E
89.3143 N, 96.8731 W
4.2796 N, 22.7054 E
73.0870 N, 9.0733 W
32.8737 S, 97.2487 W
65.2625 N, 20.2217 W
10.7213 N, 35.5023 W
69.7399 N, 155.3589 E
0.2267 S, 145.9168 W
88.7990 S, 6.5158 W
52.4654 S, 98.7018 E
76.4924 S, 147.3250 W
23.6916 N, 44.6263 E
28.5988 S, 119.7532 E
63.8262 N, 1.5744 W
28.0689 N, 49.4639 E
74.7326 N, 76.0184 E
81.9294 S, 151.0531 E
39.9600 S, 24.3662 W
19.2744 N, 129.4638 W
58.2849 N, 1.9228 W
60.9105 N, 130.9676 W
70.1461 N, 116.1591 W
63.8296 S, 45.6098 E
65.2893 S, 131.9255 W
44.1092 N, 117.8937 E
61.6590 S, 104.8325 E
23.5233 N, 91.1808 W
27.5218 S, 80.4726 E
59.6788 N, 46.5081 E
31.9474 S, 96.5118 W
32.4268 S, 41.9267 W
75.1136 N, 24.4741 W
10.6248 N, 111.3783 E
57.8437 S, 152.5327 W
64.2153 S, 128.0870 E
7.4298 S, 16.2914 E
56.9127 N, 55.8433 W
54.3586 N, 103.4704 W
5.8733 N, 147.5517 E
42.4820 S, 68.4947 E
15.1255 N, 159.3053 W
6.0106 S, 66.9335 E
42.5797 N, 151.6361 W
54.5919 S, 49.1143 W
49.4925 N, 86.5355 W
76.1611 N, 96.8566 E
73.2190 S, 22.0581 E
54.2779 S, 90.0674 E
18.7166 S, 137.4885 E
79.2333 N, 3.4542 W
59.1129 N, 176.0591 W
28.6060 S, 14.2673 E
29.3183 S, 87.4796 W
77.1375 S, 168.9769 E
76.8195 S, 54.9624 E
45.2647 S, 68.5474 E
47.3214 N, 53.3852 E
9.4401 S, 38.6737 W
47.4019 S, 79.1175 W
85.4962 S, 121.8853 E
16.8552 S, 134.5490 E
82.3286 N, 33.8115 E
83.1924 S, 121.9292 E
23.4555 N, 143.3967 W
53.6567 N, 127.1341 E
12.7128 S, 172.9103 W
27.0842 N, 64.6233 W
83.8978 N, 110.5773 W
12.9702 N, 7.3653 E
79.0323 S, 150.6230 W
53.6348 N, 85.6404 W
19.3838 S, 23.0682 E
40.5846 S, 91.7905 W
73.7856 S, 26.1447 E
56.2167 S, 153.0225 W
3.7799 N, 124.2627 E
51.4826 N, 118.2240 W
48.2483 N, 140.4814 E
34.1298 N, 4.4041 E
51.2004 N, 71.8200 W
56.5185 N, 18.4385 W
6.7378 N, 105.2913 W
61.8738 N, 167.3592 W
12.8049 N, 62.0677 W
71.8824 S, 25.7310 E
21.9024 N, 15.6778 W
53.9531 N, 31.2206 W
40.8280 N, 13.1874 E
80.2859 N, 102.8634 W
63.1599 S, 80.6794 E
39.0139 S, 80.8944 W
81.7412 S, 161.8654 W
65.8790 N, 48.5636 E
0.8166 N, 65.4993 E
55.4288 S, 45.9640 W
26.5620 N, 33.5517 E
89.9397 S, 149.5324 W
26.5281 S, 87.6941 W
37.4200 S, 29.0483 W
68.6709 N, 28.7393 W
60.0803 N, 25.4905 W
2.1521 S, 162.1924 W
66.7495 S, 159.7413 W
68.4738 S, 179.4032 E
44.4659 N, 157.5936 W
5.1112 S, 110.0906 E
42.5246 N, 178.9487 W
56.8126 N, 142.4258 E
32.6476 N, 170.9076 E
73.7696 S, 148.4224 E
9.8784 S, 144.1311 E
8.6186 S, 114.9104 W
2.4000 N, 41.6393 E
41.4956 S, 87.5940 W
50.7043 N, 139.1458 W
62.2033 N, 156.2141 W
51.6145 S, 179.3047 E
36.8703 S, 74.5929 W
12.8487 S, 90.4387 E
11.9960 N, 61.9744 W
47.1584 N, 28.6761 W
76.4406 N, 159.1155 E
85.3254 N, 63.7291 W
87.4665 N, 74.0500 E
9.6894 N, 62.9521 W
76.1153 S, 11.4433 E
78.7462 S, 137.5257 W
73.2417 N, 104.9286 W
15.8845 S, 9.6519 W
85.7500 N, 88.9115 E
65.9623 S, 152.2050 E
43.0336 N, 117.2774 W
22.7979 S, 164.2262 E
8.0213 N, 120.4845 W
38.2134 S, 104.1324 W
48.7665 N, 64.2836 E
22.0292 N, 134.8079 W
39.3582 N, 99.0878 E
79.8279 N, 124.7907 W
52.0638 N, 88.9662 E
4.7935 N, 61.1877 W
54.4473 N, 111.6353 W
18.0617 N, 100.6394 W
65.1557 N, 20.1919 W
17.0839 S, 94.8682 W
55.4159 S, 81.5921 W
39.0886 N, 155.6326 E
54.6564 S, 12.2711 E
47.5920 N, 92.3129 W
71.1163 S, 24.1285 W
41.9375 N, 95.0709 W
49.3372 N, 68.4663 W
62.5591 S, 134.9818 E
65.8118 N, 128.1620 W
65.4945 S, 118.9524 W
16.7165 N, 58.3509 E
66.3188 N, 145.2915 E
21.0469 S, 62.4182 W
20.5129 S, 152.1662 E
70.1956 N, 142.1096 W
31.6627 S, 37.3060 E
40.1708 S, 83.7317 E
20.5603 N, 83.8044 W
7.3834 S, 65.2820 E
49.0214 S, 161.3050 E
80.0377 N, 90.9353 E
29.2917 S, 144.0621 E
2.8434 N, 76.2716 W
10.8571 S, 63.5384 W
45.3131 S, 93.2989 W
41.2401 N, 103.6166 E
66.2494 S, 160.0359 E
15.0806 N, 14.9781 W
33.4330 S, 100.7536 E
42.3058 N, 84.6900 W
24.2646 S, 128.3599 W
17.7216 N, 51.2090 W
41.7363 N, 119.7752 E
54.2886 N, 107.4396 W
33.9120 N, 111.9843 E
70.2560 S, 66.4014 E
54.4327 N, 145.2584 E
71.8006 S, 96.4413 W
1.1893 S, 0.0106 W
39.1434 S, 5.1929 W
71.8632 N, 23.3119 W
57.1789 S, 48.0971 W
38.0070 N, 140.3713 W
34.9322 N, 113.1582 E
21.8458 S, 10.4559 W
43.7643 N, 164.2629 W
68.6598 N, 17.5208 E
48.3288 N, 74.7935 E
58.2120 S, 144.9713 W
29.3160 S, 27.2251 E
87.2460 S, 145.3412 E
86.4443 S, 171.2442 E
48.6029 S, 73.8394 E
23.4320 S, 133.1214 E
82.1206 S, 137.5772 W
58.2148 N, 4.1797 W
68.5581 N, 72.7340 E
14.4940 S, 145.5842 E
6.2406 S, 2.0062 E
75.0177 S, 115.7687 W
82.0360 N, 56.8465 W
17.1680 S, 140.3086 E
23.7832 N, 161.2020 E
43.4069 N, 161.2265 E
16.2060 S, 42.4807 W
64.3236 N, 34.2971 E
14.7055 N, 118.9897 W
78.9148 N, 44.5347 W
87.1272 S, 73.7891 W
79.6993 N, 149.6338 W
31.4601 S, 115.9469 W
4.5487 S, 6.8822 E
35.1393 N, 175.7799 W
71.1960 S, 143.8544 E
7.1277 N, 140.7955 W
64.8375 S, 74.5709 W
64.6098 N, 173.8418 E
56.7028 S, 114.0833 E
74.6957 S, 120.7188 W
12.8241 N, 73.7959 E
83.9880 N, 94.2836 E
5.7063 S, 100.0219 W
25.5371 S, 162.6328 E
31.0874 N, 148.3418 W
82.4830 N, 174.1174 W
72.6036 N, 37.1787 W
11.4572 N, 8.1356 W
71.7433 S, 76.3662 W
9.3550 N, 63.5637 W
7.4650 S, 19.6927 W
86.8259 N, 111.1112 E
78.3875 N, 42.6068 W
69.6462 S, 108.0782 E
49.4016 N, 134.1463 W
16.9486 N, 104.5123 W
33.1657 N, 0.0861 E
67.6174 N, 72.7423 W
74.2760 N, 57.3466 E
34.8839 S, 83.9146 E
85.4643 N, 120.0078 E
11.4774 S, 105.0681 W
38.8732 N, 44.8768 W
64.5186 S, 50.3588 E
22.2569 N, 71.9300 E
2.4026 S, 62.2148 W
38.0661 S, 168.6352 E
54.0123 N, 28.7200 E
42.2001 N, 162.8816 W
56.0612 N, 30.9820 E
41.1344 S, 119.5315 W
83.2332 S, 152.3659 W
73.9467 S, 169.1371 W
48.4265 S, 28.3687 E
65.0904 S, 32.9891 E
2.7408 N, 99.2736 W
32.9805 N, 29.8688 W
22.5565 S, 159.5170 W
69.4887 N, 43.1065 E
68.5228 N, 93.3058 E
61.4716 S, 137.8278 E
78.5821 S, 113.8502 E
66.7768 N, 59.0884 W
64.9420 N, 143.7695 E
21.4532 S, 76.8452 E
11.1397 S, 70.2357 E
76.7411 S, 176.9757 E
40.5230 N, 122.2355 W
89.7697 N, 122.2894 E
72.5787 N, 50.8885 E
73.6190 N, 93.7698 W
45.2613 N, 22.0576 W
42.5930 S, 81.4768 E
7.8948 N, 44.1851 E
38.7202 S, 28.2888 E
78.3862 S, 154.6041 W
44.0946 S, 170.9261 W
31.4722 S, 146.9271 W
20.5541 S, 126.1107 E
76.1647 N, 149.7161 E
33.8409 N, 113.7811 W
63.4472 N, 163.4535 W
51.7249 N, 110.7974 W
26.2111 N, 71.6549 E
79.0517 N, 141.2369 E
71.3985 N, 76.6707 E
40.2008 S, 87.6529 W
9.4457 S, 40.4384 W
76.1629 S, 167.9110 E
6.0377 N, 34.1479 W
22.9254 S, 114.3723 E
15.1843 N, 177.6025 W
29.4775 N, 113.2498 E
75.7158 S, 147.4410 W
16.4339 S, 34.0244 W
1.3085 N, 33.3563 E
62.2576 S, 142.5847 W
74.9938 N, 86.8631 W
56.5632 N, 13.5081 E
31.9221 N, 106.7585 E
34.3198 S, 116.6467 E
76.8585 S, 63.2067 E
38.2880 S, 133.5831 W
39.6850 S, 151.9395 W
82.0743 S, 57.4960 E
23.2848 N, 80.7774 W
23.1221 N, 74.4788 W
12.8526 S, 179.1133 E
58.9841 S, 8.6860 E
21.0694 S, 31.4436 W
71.4821 S, 3.4684 W
87.7193 S, 95.3505 E
73.2072 S, 126.4633 E
66.5924 S, 66.9906 W
1.9748 S, 108.3554 W
83.0330 S, 171.3850 W
27.9856 S, 79.4027 W
36.2274 S, 143.9106 E
34.7304 S, 168.5480 E
79.3629 S, 84.6864 W
22.0725 S, 94.4098 E
60.7139 S, 42.8394 W
25.5000 N, 20.9941 E
5.8379 S, 116.0747 W
56.8981 N, 55.5874 E
66.3189 S, 49.1348 E
68.8504 N, 0.6108 W
50.1243 S, 157.7894 E
0.6069 S, 176.6783 E
5.5955 N, 127.1168 E
79.7054 S, 90.5352 E
10.8725 N, 176.1835 E
41.0018 S, 163.2624 W
24.1771 S, 115.6589 E
83.2538 S, 12.9148 E
38.1228 N, 72.2099 E
71.7988 S, 73.4107 E
1.0561 N, 119.2336 E
81.0402 N, 148.8394 W
14.4558 N, 19.3600 W
83.8492 N, 175.3721 W
9.2479 N, 94.2331 E
61.5623 S, 152.8791 W
89.7007 S, 27.3846 E
3.8370 N, 91.4671 W
24.0652 S, 77.6139 W
85.4129 S, 83.3386 W
67.8774 N, 170.8470 W
78.4241 N, 134.7963 E
3.2961 S, 98.4833 E
71.1508 S, 179.3880 W
71.8014 S, 177.5974 E
43.4811 N, 13.5269 E
8.9113 S, 77.3521 E
52.8818 N, 130.3003 E
53.2504 N, 174.9097 W
51.4821 S, 165.3045 E
15.7030 S, 172.3563 E
50.0065 N, 41.6103 E
54.4907 S, 79.2829 E
77.7791 S, 0.5660 W
24.8929 S, 150.3487 E
41.8213 N, 111.9923 E
19.7211 S, 157.4532 W
7.7325 S, 156.4806 W
65.6129 N, 146.5686 E
21.5338 N, 93.6319 W
83.8053 N, 160.5069 E
28.0179 N, 44.8138 W
81.7531 N, 8.4237 W
2.2366 N, 144.4635 E
73.5108 S, 54.3592 E
77.3750 N, 90.5907 E
0.8204 N, 87.3692 W
76.0915 S, 110.7627 E
57.1710 S, 11.5621 W
42.0899 S, 76.7867 E
20.8008 N, 16.5527 W
87.5973 N, 14.8163 W
6.2203 N, 37.4673 W
72.7254 N, 107.1032 E
65.0168 S, 71.5354 E
45.1261 N, 104.3885 W
72.3802 S, 34.1928 W
56.3998 N, 172.3824 W
84.7800 N, 8.2515 E
77.3807 N, 16.2211 E
28.1854 N, 111.0281 W
60.0504 S, 14.0450 W
1.9376 S, 33.7251 W
78.0294 N, 111.2169 W
87.2821 N, 30.0961 E
6.0186 S, 138.4397 E
69.9674 S, 120.5807 W
46.4185 S, 143.0110 W
66.0777 S, 129.5965 E
89.0644 S, 115.6002 E
53.1946 N, 91.0334 W
26.4059 N, 141.1762 W
83.1480 N, 35.9052 W
53.6886 N, 129.9046 W
16.3774 N, 53.4984 E
25.7550 N, 108.8914 W
45.2829 N, 172.6643 E
75.8722 S, 112.4523 E
28.0290 S, 12.3381 W
62.3591 N, 60.2305 E
11.9687 S, 45.5057 E
38.6854 N, 95.1633 W
79.8961 N, 71.7780 E
12.6599 S, 101.0718 W
35.5704 N, 75.8367 W
83.2818 N, 90.7801 W
9.7865 N, 13.2975 E
15.2822 N, 90.3673 E
36.2819 S, 122.0404 W
65.9352 N, 174.3456 W
76.9745 N, 55.2680 E
81.3305 S, 56.6683 E
14.8210 N, 4.3457 W
60.0535 S, 94.4625 W
46.9172 N, 39.3616 E
75.9244 S, 158.3968 E
87.0672 N, 107.0950 W
74.2724 N, 66.7552 E
7.5806 S, 82.5307 W
74.2445 S, 39.4526 W
26.7743 N, 27.2857 E
33.6328 N, 30.6282 W
16.0325 N, 36.1914 W
10.6395 S, 86.3172 W
48.7666 S, 83.8156 E
40.1610 N, 110.8553 W
49.7416 N, 104.9855 W
13.4913 S, 132.4576 W
30.9418 N, 51.4112 W
26.4127 N, 124.1486 W
71.3572 N, 24.3024 W
18.7857 N, 31.1823 E
5.7624 N, 56.6280 W
65.0396 S, 172.1360 W
44.7201 S, 143.6276 E
69.3289 S, 41.3087 E
83.2243 N, 80.0579 E
1.2626 S, 54.2942 W
32.4848 S, 102.1379 W
49.6482 N, 142.4378 W
2.7789 S, 171.8581 W
88.1581 S, 153.4318 W
72.2351 S, 168.4820 E
6.0141 N, 5.4414 E
82.7125 S, 105.6312 E
52.9515 N, 172.2822 W
10.9651 N, 143.7002 W
18.9457 N, 63.9954 E
78.0640 N, 79.4156 E
26.9765 S, 142.5899 E
77.3109 N, 106.0873 W
44.1964 N, 166.3540 E
5.0665 S, 59.8071 E
74.4979 N, 168.9183 E
61.8284 S, 3.7501 W
22.7814 S, 18.4758 W
24.3360 S, 18.5395 W
86.2019 N, 50.5273 E
8.3789 S, 105.9140 W
3.7807 S, 137.7861 W
42.0377 S, 5.7889 W
24.8350 N, 122.1163 W
16.6119 S, 18.6145 W
12.0754 S, 97.0133 W
36.0965 N, 167.5241 W
21.9649 S, 27.6212 E
33.9098 S, 83.0836 W
83.2087 S, 46.8375 W
25.4558 N, 40.8915 E
6.5600 S, 146.8357 W
42.9365 S, 36.4985 E
64.0466 N, 155.3291 E
74.8533 S, 89.7437 E
71.2429 S, 108.1637 W
83.1109 N, 78.2077 W
37.9380 S, 35.4907 E
8.4541 N, 176.2192 W
68.3025 S, 85.8984 E
74.3650 N, 117.8370 W
5.3456 N, 26.8943 E
77.0661 N, 144.1579 E
28.2471 S, 64.8890 W
38.8060 N, 110.6740 W
7.0896 S, 26.5823 E
17.2373 N, 159.8341 E
7.7977 S, 17.4140 W
31.5098 N, 80.0683 E
53.7663 N, 99.6694 E
83.1692 N, 143.2704 E
6.6573 N, 173.0010 W
51.1969 S, 160.4483 W
17.5289 N, 33.9304 E
56.1853 S, 11.6844 E
32.2749 N, 130.9616 W
0.3212 N, 19.0172 W
78.8566 S, 82.2097 E
40.0965 S, 162.0848 E
41.5991 S, 167.6286 W
23.8785 N, 88.9892 W
34.1622 S, 51.2009 W
18.6425 N, 78.5695 E
47.0549 N, 42.0584 E
53.2591 S, 18.2286 E
14.7601 S, 20.7223 W
83.0059 S, 152.9261 W
73.2177 N, 129.5313 E
74.2463 N, 28.4421 W
76.0820 S, 101.3502 W
6.5030 S, 1.7028 W
43.0773 N, 93.8602 E
53.3561 N, 139.0894 W
3.1112 N, 157.5025 W
29.0396 N, 132.5620 E
59.8258 N, 94.0791 E
70.6625 S, 153.5114 W
43.5180 N, 16.0239 E
56.9519 N, 107.0011 W
19.1769 N, 56.7036 E
30.8844 S, 16.5371 W
45.0860 N, 158.6265 W
41.4068 S, 65.8231 E
29.5734 S, 155.3526 E
48.8026 S, 39.5930 E
25.8428 N, 118.4584 W
55.1732 S, 59.3548 E
30.8641 N, 142.4190 E
72.1111 N, 130.8452 E
29.3586 S, 176.6678 W
51.6819 N, 107.3087 W
10.2325 N, 40.7012 E
27.2662 S, 23.3273 W
76.0733 S, 79.2464 W
84.4612 S, 116.9104 E
60.8352 N, 49.9622 W
48.4637 S, 165.3883 E
23.2390 S, 27.9399 E
6.0015 N, 10.1266 E
36.0628 N, 67.2562 E
10.1145 N, 97.0413 E
19.3319 S, 26.5177 W
64.1598 S, 64.0581 W
78.9586 N, 169.9204 E
70.9254 S, 3.1469 E
5.2497 N, 136.8178 W
48.7628 N, 126.1797 W
13.7211 N, 31.0320 W
3.9899 N, 23.3755 E
23.1380 N, 58.8618 W
85.0627 N, 102.9920 E
75.8927 N, 139.4554 W
56.8509 S, 146.2949 W
7.0264 N, 21.3006 W
37.1306 N, 62.0161 W
1.2651 S, 98.3961 W
84.8079 N, 36.7452 W
17.9700 S, 156.9195 E
19.5755 N, 120.4134 E
58.2259 S, 147.2395 E
19.1294 S, 56.3487 E
22.9060 N, 91.8326 E
86.6483 S, 25.1990 E
86.4923 N, 74.6158 E
27.3932 N, 170.7447 W
32.6287 S, 39.0528 W
15.0044 N, 42.7749 W
39.9565 N, 57.4524 W
65.8407 S, 173.8186 E
18.1224 N, 98.7076 E
8.4998 S, 154.3410 W
88.6922 S, 48.4888 W
53.1093 N, 69.6289 E
76.3222 S, 151.2041 W
79.1988 S, 37.1655 E
5.3454 N, 168.9970 E
65.1552 S, 108.0133 E
61.3219 N, 147.6678 E
40.1150 N, 3.7544 W
59.6328 N, 37.3191 W
3.8748 S, 66.7528 E
85.1571 S, 95.8769 E
83.4986 S, 80.0547 W
0.5157 S, 109.8037 W
57.9058 N, 169.1180 E
47.9507 S, 121.2120 E
17.9815 S, 106.7262 W
84.6363 S, 113.1910 E
83.8097 N, 117.9311 W
58.9174 N, 178.9057 W
42.9848 S, 63.5060 W
50.6028 N, 150.8712 E
81.6363 N, 21.5079 E
26.1554 S, 113.6278 W
85.1975 N, 159.6201 W
35.0902 S, 175.2115 W
26.7394 N, 34.2930 E
88.8791 S, 125.0530 W
1.1464 N, 106.7311 E
38.9780 S, 61.3513 W
44.6532 N, 59.2661 W
56.6375 S, 114.4622 E
89.1724 S, 6.5316 W
33.7587 S, 73.5576 E
20.7062 N, 69.9343 W
70.6737 N, 15.6861 E
33.9896 S, 127.0433 W
23.2188 S, 38.0940 W
4.2235 S, 144.1769 E
46.1062 S, 10.1094 E
7.0227 S, 89.9183 W
3.3916 N, 44.0152 W
75.2430 S, 20.0412 E
61.0347 N, 38.5799 E
86.7529 S, 100.2438 E
68.9205 N, 101.5109 W
0.8283 N, 99.9184 E
52.9040 N, 67.6739 W
60.0603 S, 36.3265 W
47.3481 N, 47.9699 W
87.6098 S, 141.3846 W
12.2498 N, 159.4987 E
80.1758 S, 74.1756 W
60.7449 N, 70.7173 W
68.1760 N, 93.5359 W
70.8953 S, 71.1135 W
28.9540 N, 134.3594 E
79.9201 N, 75.0659 W
87.6242 S, 166.6534 W
85.1337 N, 0.1607 W
49.8818 N, 96.3069 E
60.5808 S, 3.8942 W
55.6081 N, 61.6915 E
14.1920 S, 117.2345 E
37.7144 N, 46.4321 E
9.2030 S, 156.2542 E
61.5463 S, 103.8687 E
69.3527 S, 111.2713 W
34.7161 N, 161.2826 W
30.7853 S, 165.1125 E
52.4394 N, 12.9539 W
13.3532 N, 87.6128 E
21.8086 S, 179.6694 W
81.4224 N, 159.4125 E
59.5435 S, 21.9579 E
59.2974 N, 95.6066 E
63.0128 N, 88.2597 E
72.7401 S, 142.1103 E
40.8793 N, 150.6993 E
44.3961 N, 0.0833 W
33.5563 S, 100.7765 W
71.9964 S, 88.9228 E
56.7399 S, 1.2265 E
52.3519 N, 62.2328 E
52.8854 N, 125.2734 E
42.0683 S, 98.6795 E
4.2062 S, 47.4115 E
19.0416 S, 92.3541 E
69.6126 S, 171.0509 W
79.1361 N, 7.5872 W
21.4356 N, 16.5180 E
30.7010 N, 172.3658 W
58.9389 N, 120.9541 W
43.5786 N, 47.3086 E
32.1331 S, 81.8410 E
57.6489 N, 146.3617 W
25.1527 N, 53.0990 E
78.7345 S, 93.3653 E
74.2574 S, 161.0063 W
81.5050 N, 123.6330 E
48.6998 S, 47.3539 E
88.2575 N, 177.9576 W
39.1655 N, 122.8256 E
28.7125 N, 2.4371 E
53.8979 N, 168.6319 W
12.9582 S, 177.1315 E
70.0724 S, 146.3549 E
6.8141 S, 75.0526 W
21.5378 N, 110.8160 W
43.9279 S, 153.8573 E
53.8182 N, 79.0824 W
81.9029 N, 114.8166 E
9.1640 S, 43.7813 W
86.8780 N, 37.3585 W
16.8179 S, 148.8040 E
23.4736 N, 116.3890 E
53.7163 S, 54.4780 E
85.9747 N, 37.9525 W
62.5517 S, 27.8588 W
46.2959 S, 115.8262 E
18.7279 N, 47.7810 E
10.0736 S, 10.9058 E
80.1268 S, 149.2571 W
71.2015 S, 67.3846 E
58.7610 N, 115.8096 E
67.2084 S, 75.6815 E
89.5514 N, 135.8932 W
89.9744 N, 126.4745 W
45.5879 S, 14.4537 E
58.0843 N, 4.0567 W
46.4216 N, 150.8656 W
11.3785 N, 56.7719 W
75.0149 N, 83.0476 E
39.1886 N, 12.9296 W
31.2991 S, 49.7334 E
61.9966 S, 175.4760 W
63.2365 S, 111.1584 E
81.8566 S, 31.6620 W
42.0113 N, 119.1430 E
0.7694 S, 4.9494 E
16.9949 N, 128.0388 W
23.6474 N, 38.3669 W
30.5493 S, 154.6903 W
32.4992 N, 48.3998 W
21.4705 N, 90.8112 E
39.6454 N, 136.8708 W
11.4483 S, 53.6881 W
66.4565 N, 56.8667 W
60.1628 N, 42.2562 W
43.4037 N, 144.8776 W
38.5618 S, 79.2625 W
3.9344 N, 50.3796 E
52.0217 S, 41.3861 E
68.3505 N, 109.6343 E
1.2035 S, 66.6964 W
4.5157 N, 58.9769 E
73.9017 S, 104.1370 W
16.5720 S, 63.1326 E
52.6605 N, 0.6071 W
43.6778 S, 156.8786 W
78.2096 S, 31.8654 E
87.2965 S, 1.1786 W
4.5827 N, 1.7445 E
79.0906 S, 118.5933 W
28.2796 S, 82.3767 E
21.8335 S, 42.8858 W
9.8855 N, 2.1810 W
18.8846 S, 122.3541 W
22.8867 N, 74.3454 W
37.5431 N, 150.9913 W
5.7419 N, 122.3012 W
41.8169 S, 38.6896 E
3.2597 S, 97.0930 W
49.1195 N, 5.7282 E
34.3311 S, 153.6078 E
81.5326 N, 80.4914 W
26.8853 S, 98.3661 E
35.2297 N, 43.6086 W
3.0325 S, 113.3019 E
70.3454 N, 163.5526 E
31.2749 N, 105.1312 E
7.4690 S, 108.7751 E
54.6309 S, 166.4440 E
19.0711 S, 49.5003 E
6.6368 N, 65.6590 W
43.2307 S, 80.0832 W
75.3907 S, 5.6011 W
67.4134 S, 69.0555 E
89.7920 N, 52.8986 W
57.9506 N, 102.0291 E
9.2557 S, 97.5748 E
82.5343 N, 12.1961 E
47.6634 S, 46.6227 W
32.1544 N, 78.3566 E
15.6072 N, 5.2387 W
71.1904 N, 123.0763 E
88.4808 N, 21.4155 W
22.6610 N, 179.9288 E
19.2296 N, 15.3052 E
31.4834 S, 134.1850 E
33.9307 N, 47.6861 E
70.0089 N, 54.6098 W
71.9678 N, 148.6408 W
74.7588 S, 108.2133 E
69.0578 N, 93.7829 W
47.0939 N, 119.2125 W
60.8721 S, 29.2516 E
15.2412 N, 109.9652 E
50.1976 S, 139.8756 E
7.5087 S, 76.2488 W
87.7537 S, 119.2066 W
4.6278 N, 44.4017 W
23.9484 S, 92.7862 E
84.7726 S, 65.3759 W
1.0796 N, 85.2899 E
89.5306 S, 85.8569 W
22.1646 N, 166.9746 E
50.7260 N, 166.3199 W
0.7423 S, 32.6540 E
86.8039 N, 57.1690 W
76.9938 N, 148.5087 W
39.8554 S, 108.1030 W
45.6634 S, 153.7536 E
54.1443 N, 178.4370 W
21.0888 S, 81.2729 W
80.3621 S, 117.9245 W
63.0479 N, 67.1839 W
